                      proname                      |     return_type      
---------------------------------------------------+----------------------
 apply_credit_note                                 | jsonb
 approve_refund_request                            | jsonb
 auto_match_transactions                           | jsonb
 before_address_insert                             | trigger
 cleanup_expired_authenticated_checkout_sessions   | integer
 cleanup_expired_guest_sessions                    | integer
 cleanup_expired_oauth_tokens                      | void
 cleanup_old_payment_error_logs                    | void
 cleanup_old_payment_health_logs                   | void
 cleanup_old_payment_verification_logs             | void
 cleanup_old_webhook_logs                          | void
 complete_reconciliation                           | jsonb
 confirm_payment_from_proof                        | jsonb
 create_credit_note                                | jsonb
 create_payment_ledger_entry_trigger               | trigger
 create_payment_with_ledger_entry                  | jsonb
 create_refund_request                             | jsonb
 ensure_user_profile                               | boolean
 ensure_user_profile_exists                        | boolean
 expire_quotes                                     | integer
 force_update_payment                              | jsonb
 generate_credit_note_number                       | text
 generate_display_id                               | trigger
 generate_payment_link_code                        | text
 generate_share_token                              | text
 get_active_payment_link_for_quote                 | record
 get_all_user_emails                               | record
 get_available_credit_notes                        | record
 get_bank_account_for_order                        | bank_account_details
 get_bank_details_for_email                        | text
 get_currency_conversion_metrics                   | record
 get_currency_mismatches                           | record
 get_currency_statistics                           | record
 get_exchange_rate_health                          | record
 get_orders_with_payment_proofs                    | record
 get_payment_history                               | record
 get_payment_proof_stats                           | json
 get_shipping_cost                                 | record
 get_suspicious_payment_amounts                    | record
 get_transaction_refund_eligibility                | record
 get_user_bank_accounts                            | bank_account_details
 handle_default_address                            | trigger
 handle_new_user                                   | trigger
 has_any_role                                      | boolean
 has_role                                          | boolean
 is_admin                                          | boolean
 is_authenticated                                  | boolean
 lock_address_after_payment                        | boolean
 log_address_change                                | trigger
 log_quote_status_change                           | trigger
 post_financial_transaction                        | jsonb
 process_payment_webhook_atomic                    | record
 process_refund_atomic                             | record
 process_refund_item                               | jsonb
 record_payment_with_ledger_and_triggers           | jsonb
 record_paypal_payment_to_ledger                   | jsonb
 reverse_financial_transaction                     | jsonb
 send_welcome_email                                | trigger
 set_quote_expiration                              | trigger
 set_share_token                                   | trigger
 start_reconciliation_session                      | jsonb
 sync_payment_record_to_ledger                     | trigger
 sync_quote_payment_amounts                        | trigger
 test_payment_update_direct                        | jsonb
 trigger_paypal_webhook_events_updated_at          | trigger
 trigger_update_payment_status                     | trigger
 update_authenticated_checkout_sessions_updated_at | trigger
 update_country_payment_preferences_updated_at     | trigger
 update_guest_checkout_sessions_updated_at         | trigger
 update_payment_links_updated_at                   | trigger
 update_payment_refund_totals                      | trigger
 update_payment_status                             | trigger
 update_paypal_refunds_updated_at                  | trigger
 update_quote_documents_updated_at                 | trigger
 update_route_customs_tiers_updated_at             | trigger
 update_updated_at_column                          | trigger
 validate_delivery_options                         | trigger
(77 rows)

