                       trigger_name                        |           table_name            | schema_name 
-----------------------------------------------------------+---------------------------------+-------------
 trigger_update_authenticated_checkout_sessions_updated_at | authenticated_checkout_sessions | public
 update_chart_of_accounts_updated_at                       | chart_of_accounts               | public
 trigger_country_payment_preferences_updated_at            | country_payment_preferences     | public
 update_country_settings_updated_at                        | country_settings                | public
 update_credit_notes_updated_at                            | credit_notes                    | public
 update_financial_transactions_updated_at                  | financial_transactions          | public
 update_gateway_refunds_updated_at                         | gateway_refunds                 | public
 trigger_update_guest_checkout_sessions_updated_at         | guest_checkout_sessions         | public
 update_payment_adjustments_updated_at                     | payment_adjustments             | public
 update_payment_documents_updated_at                       | payment_documents               | public
 update_payment_gateways_updated_at                        | payment_gateways                | public
 sync_payment_amounts_trigger                              | payment_ledger                  | public
 update_payment_ledger_updated_at                          | payment_ledger                  | public
 update_payment_links_updated_at_trigger                   | payment_links                   | public
 update_payment_reconciliation_updated_at                  | payment_reconciliation          | public
 create_payment_ledger_entry_on_payment                    | payment_transactions            | public
 trigger_paypal_refunds_updated_at                         | paypal_refunds                  | public
 trigger_update_payment_refund_totals                      | paypal_refunds                  | public
 trigger_paypal_webhook_events_updated_at                  | paypal_webhook_events           | public
 update_profiles_updated_at                                | profiles                        | public
 trigger_update_quote_documents_updated_at                 | quote_documents                 | public
 generate_quote_display_id                                 | quotes                          | public
 set_share_token_trigger                                   | quotes                          | public
 trigger_log_address_change_insert                         | quotes                          | public
 trigger_log_address_change_update                         | quotes                          | public
 trigger_log_quote_status_change                           | quotes                          | public
 trigger_set_quote_expiration                              | quotes                          | public
 update_payment_status_on_quote                            | quotes                          | public
 update_quotes_updated_at                                  | quotes                          | public
 update_reconciliation_items_updated_at                    | reconciliation_items            | public
 update_refund_items_updated_at                            | refund_items                    | public
 update_refund_requests_updated_at                         | refund_requests                 | public
 trigger_update_route_customs_tiers_updated_at             | route_customs_tiers             | public
 validate_delivery_options_trigger                         | shipping_routes                 | public
 ensure_profile_before_address                             | user_addresses                  | public
 trigger_handle_default_address_insert                     | user_addresses                  | public
 trigger_handle_default_address_update                     | user_addresses                  | public
(37 rows)

